open,high,low,close,volume
25228.1,25236,25225.4,25232,27600
25232.4,25237.5,25228.8,25232.1,19200
25232.1,25232.1,25212,25212,45825
25214.5,25228,25212,25224.8,37425
25226,25232.5,25219,25229.5,25725
25230,25234,25224.5,25228.2,38100
25228.2,25237.5,25226.9,25226.9,26325
25226.9,25227.1,25217.3,25220.7,46650
25220.7,25232,25219.2,25225.4,39600
25225,25225.4,25214.4,25219.5,28200
25219.3,25235,25215,25230.7,35025
25235,25238,25230.7,25236.2,22425
25236,25241.6,25234.4,25239.6,32700
25239.5,25240,25226.3,25230.2,26250
25230.3,25236.5,25225.3,25228.6,19950
25228.6,25250,25220,25238,46650
25238,25241,25235,25235,18000
25235,25236,25220,25230,24900
25230.1,25232.8,25220,25220,33450
25220.1,25236.8,25220,25230,46425
25230.4,25237.8,25230,25237.7,28125
25237.7,25243.6,25234,25241.4,37725
25241,25246.1,25240.2,25241,37275
25241,25242.3,25227.5,25234,57750
25232.8,25247,25232.8,25244.7,58875
25241.5,25247.8,25232.1,25239,43800
25238.9,25242.8,25237,25242,91500
25242.6,25243,25219.6,25220.4,148350
25222,25230,25211.8,25214.8,158850
25215,25224.4,25214.2,25216.7,150000
25216.6,25218,25205,25208,228675
